supplier_id,supplier_name,contact_person,email,phone,agreement_status,last_audit_score,notes
SUP-001,Global Parts Inc.,Alice Smith,globalpartsinc@example.com,+1-555-456-7890,Active,92,Leading supplier for automotive components.
SUP-002,Tech Solutions Ltd.,Bob Johnson,techsolutionsltd@example.com,+1-555-123-4567,Active,88,Specializes in electronic assemblies.
SUP-003,Precision Manufacturing Co.,Charlie Brown,precisionmanufacturingco@example.com,+1-555-789-0123,Pending Renewal,75,Known for high-precision machining.
SUP-004,Innovate Components,Diana Prince,innovatecomponents@example.com,+1-555-345-6789,Active,95,Innovative designs and rapid prototyping.
SUP-005,Reliable Assemblies,Eve Adams,reliableassemblies@example.com,+1-555-901-2345,Active,89,Consistent quality in sub-assembly.
SUP-006,Future Fabricators,Frank White,futurefabricators@example.com,+1-555-234-5678,Active,91,Advanced materials and fabrication.
SUP-007,Dynamic Dies,Grace Hall,dynamicdies@example.com,+1-555-890-1234,Terminated,68,Previously supplied custom dies.
SUP-008,Apex Automation,Harry Green,apexautomation@example.com,+1-555-567-8901,Active,93,Robotics and automation solutions.
SUP-009,Quantum Quality,Ivy King,quantumquality@example.com,+1-555-012-3456,Active,90,Strict quality control processes.
SUP-010,Mega Metals,Jack Blue,megametals@example.com,+1-555-678-9012,On Hold,70,Large-scale metal stamping.
SUP-011,Prime Plastics,Karen Red,primeplastics@example.com,+1-555-321-0987,Active,87,Injection molding and plastic parts.
SUP-012,Elite Engineering,Leo Black,eliteengineering@example.com,+1-555-987-6543,Active,94,Custom engineering and design.
SUP-013,Swift Solutions,Mia White,swiftsolutions@example.com,+1-555-432-1098,Active,85,Fast turnaround for prototypes.
SUP-014,Optimal Optics,Noah Grey,optimaloptics@example.com,+1-555-876-5432,Pending Renewal,78,Precision optical components.
SUP-015,Unified Utilities,Olivia Teal,unifiedutilities@example.com,+1-555-210-9876,Active,86,General utility and maintenance supplies.
SUP-016,Vanguard Ventures,Peter Cyan,vanguardventures@example.com,+1-555-765-4321,Active,90,New technology integration.
